Base Word;Translate (uzbek);Guideword;Level;Part of Speech;Topic;Details
outside;;NOT IN BUILDING;A1;adverb;describing things;Details
glass;;SUBSTANCE;A1;noun;describing things;Details
different;;NOT THE SAME;A1;adjective;describing things;Details
down;;SURFACE;A1;adverb;describing things;Details
be;;POSITION;A1;verb;describing things;Details
back;;RETURNING;A1;adverb;describing things;Details
important;;VALUABLE;A1;adjective;describing things;Details
yellow;;;A1;adjective;describing things;Details
white;;COLOR;A1;adjective;describing things;Details
great;;EXCELLENT;A1;adjective;describing things;Details
red;;COLOR;A1;adjective;describing things;Details
nice;;PLEASANT;A1;adjective;describing things;Details
light;;PALE;A1;adjective;describing things;Details
green;;COLOR;A1;adjective;describing things;Details
gray;;COLOR;A1;adjective;describing things;Details
dark;;NOT PALE;A1;adjective;describing things;Details
from;;STARTING PLACE;A1;preposition;describing things;Details
behind;;BACK;A1;preposition;describing things;Details
at;;PLACE;A1;preposition;describing things;Details
some;;UNKNOWN AMOUNT;A1;determiner;describing things;Details
other;;ADDITIONAL;A1;determiner;describing things;Details
much;;QUESTION;A1;determiner;describing things;Details
more;;GREATER AMOUNT;A1;determiner;describing things;Details
many;;LARGE NUMBER;A1;determiner;describing things;Details
any;;SOME;A1;determiner;describing things;Details
every;;EACH;A1;determiner;describing things;Details
something;;THING;A1;pronoun;describing things;Details
under;;LOWER POSITION;A1;preposition;describing things;Details
near;;DISTANCE;A1;preposition;describing things;Details
into;;IN;A1;preposition;describing things;Details
inside;;;A1;preposition;describing things;Details
very much;;;A1;phrase;describing things;Details
too small/hard/much, etc.;;;A1;phrase;describing things;Details
the same;;;A1;phrase;describing things;Details
a lot;;;A1;phrase;describing things;Details
there is/there are/there was, etc.;;;A1;phrase;describing things;Details
centimeter;;;A2;noun;describing things;Details
circle;;SHAPE;A2;noun;describing things;Details
degree;;TEMPERATURE;A2;noun;describing things;Details
gram;;;A2;noun;describing things;Details
kilo;;;A2;noun;describing things;Details
kilogram;;;A2;noun;describing things;Details
kilometer;;;A2;noun;describing things;Details
liter;;;A2;noun;describing things;Details
meter;;;A2;noun;describing things;Details
piece;;PART;A2;noun;describing things;Details
size;;MEASURE;A2;noun;describing things;Details
square;;SHAPE;A2;noun;describing things;Details
cream;;COLOR;A2;noun;describing things;Details
pink;;;A2;noun;describing things;Details
purple;;;A2;noun;describing things;Details
temperature;;HEAT;A2;noun;describing things;Details
left;;LEFT SIDE;A2;noun;describing things;Details
fantastic;;;A2;adjective;describing things;Details
awesome;;GOOD;A2;adjective;describing things;Details
cool;;GOOD;A2;adjective;describing things;Details
comfortable;;CLOTHES/FURNITURE;A2;adjective;describing things;Details
advanced;;HIGHER LEVEL;A2;adjective;describing things;Details
useful;;;A2;adjective;describing things;Details
wonderful;;;A2;adjective;describing things;Details
amazing;;GOOD;A2;adjective;describing things;Details
exactly;;COMPLETELY CORRECT;A2;adverb;describing things;Details
dirty;;;A2;adjective;describing things;Details
average;;USUAL;A2;adjective;describing things;Details
awful;;BAD;A2;adjective;describing things;Details
bright;;COLOR;A2;adjective;describing things;Details
broken;;DAMAGED;A2;adjective;describing things;Details
clear;;TRANSPARENT;A2;adjective;describing things;Details
deep;;TOP TO BOTTOM;A2;adjective;describing things;Details
double;;;A2;adjective;describing things;Details
excellent;;;A2;adjective;describing things;Details
extra;;;A2;adjective;describing things;Details
heavy;;WEIGHING A LOT;A2;adjective;describing things;Details
high;;TALL;A2;adjective;describing things;Details
horrible;;;A2;adjective;describing things;Details
indoor;;;A2;adjective;describing things;Details
large;;;A2;adjective;describing things;Details
left-hand;;;A2;adjective;describing things;Details
loud;;;A2;adjective;describing things;Details
low;;AMOUNT/LEVEL;A2;adjective;describing things;Details
perfect;;WITHOUT FAULT;A2;adjective;describing things;Details
pleasant;;;A2;adjective;describing things;Details
right-hand;;;A2;adjective;describing things;Details
round;;;A2;adjective;describing things;Details
single;;FOR ONE;A2;adjective;describing things;Details
soft;;NOT HARD;A2;adjective;describing things;Details
special;;VERY GOOD;A2;adjective;describing things;Details
straight;;NOT CURVING;A2;adjective;describing things;Details
terrible;;;A2;adjective;describing things;Details
